tractid,1mile,neighborhood,closest
101,N,Other,N
102,N,Other,N
103,N,Other,N
104,N,Other,N
105,Y,Other,N
106,N,Other,N
107,Y,Other,N
108,Y,Other,N
109,N,Other,N
110,Y,Other,N
111,Y,Other,N
112,Y,Other,N
113,Y,Other,N
114,Y,Other,N
115,Y,Other,N
117,Y,Other,N
118,Y,Other,N
119,Y,Other,N
120,Y,Other,N
121,Y,Other,N
122,Y,Tenderloin,N
123,Y,Tenderloin,N
124,Y,Tenderloin,N
125,Y,Tenderloin,Y
126,N,Other,N
127,N,Other,N
128,N,Other,N
129,N,Other,N
130,N,Other,N
131,Y,Other,N
132,N,Other,N
133,N,Other,N
134,N,Other,N
135,N,Other,N
151,Y,Other,N
152,Y,Other,N
153,N,Other,N
154,N,Other,N
155,Y,Other,N
156,N,Other,N
157,N,Other,N
158,N,Other,N
159,Y,Other,N
160,Y,Other,N
161,Y,Other,N
162,Y,Other,N
163,Y,Other,N
164,N,Other,N
165,N,Other,N
166,N,Other,N
167,N,Other,N
168,Y,Other,N
169,N,Other,N
170,N,Other,N
171,N,Other,N
177,Y,Other,N
178,Y,SOMA,N
180,Y,SOMA,N
201,Y,Other,N
202,Y,Other,N
203,N,Other,N
204,N,Other,N
205,N,Other,N
206,N,Other,N
207,N,Other,N
208,N,Other,N
209,N,Other,N
210,N,Other,N
211,N,Other,N
212,N,Other,N
213,N,Other,N
214,N,Other,N
215,N,Other,N
216,N,Other,N
217,N,Other,N
218,N,Other,N
226,N,Other,N
232,N,Other,N
233,N,Other,N
234,N,Other,N
251,N,Other,N
252,N,Other,N
253,N,Other,N
255,N,Other,N
256,N,Other,N
257,N,Other,N
258,N,Other,N
259,N,Other,N
261,N,Other,N
262,N,Other,N
304,N,Other,N
305,N,Other,N
306,N,Other,N
307,N,Other,N
308,N,Other,N
309,N,Other,N
310,N,Other,N
311,N,Other,N
312,N,Other,N
313,N,Other,N
314,N,Other,N
326,N,Other,N
327,N,Other,N
328,N,Other,N
329,N,Other,N
330,N,Other,N
331,N,Other,N
351,N,Other,N
353,N,Other,N
354,N,Other,N
401,N,Other,N
402,N,Other,N
426,N,Other,N
427,N,Other,N
428,N,Other,N
451,N,Other,N
452,N,Other,N
476,N,Other,N
478,N,Other,N
601,N,Other,N
602,N,Other,N
603,N,Other,N
604,N,Other,N
606,N,Other,N
607,Y,Other,N
609,N,Other,N
610,N,Other,N
17601,Y,SOMA,Y
17602,Y,Other,N
17901,Y,Other,N
17902,N,Other,N
22701,N,Other,N
22702,N,Other,N
22703,N,Other,N
22801,N,Other,N
22802,N,Other,N
22803,N,Other,N
22901,N,Other,N
22902,N,Other,N
22903,N,Other,N
23001,N,Other,N
23002,N,Other,N
23003,N,Other,N
23101,N,Other,N
23102,N,Other,N
23103,N,Other,N
25401,N,Other,N
25402,N,Other,N
25403,N,Other,N
26001,N,Other,N
26002,N,Other,N
26003,N,Other,N
26004,N,Other,N
26301,N,Other,N
26302,N,Other,N
26303,N,Other,N
26401,N,Other,N
26402,N,Other,N
26403,N,Other,N
26404,N,Other,N
30101,N,Other,N
30102,N,Other,N
30201,N,Other,N
30202,N,Other,N
30301,N,Other,N
30302,N,Other,N
33201,N,Other,N
33202,N,Other,N
35201,N,Other,N
35202,N,Other,N
47701,N,Other,N
47702,N,Other,N
47901,N,Other,N
47902,N,Other,N
60501,N,Other,N
60502,N,Other,N
