tractid,1mile,neighborhood,closest,
10100,N,Other,N,
10200,N,Other,N,
10300,N,Other,N,
10400,N,Other,N,
10500,Y,Other,N,
10600,N,Other,N,
10700,Y,Other,N,
10800,Y,Other,N,
10900,N,Other,N,
11000,Y,Other,N,
11100,Y,Other,N,
11200,Y,Other,N,
11300,Y,Other,N,
11700,Y,Other,N,
11800,Y,Other,N,
11901,Y,Other,N,
11902,Y,Other,N,
12000,Y,Other,N,
12100,Y,Other,N,
12201,Y,Tenderloin,N,
12202,Y,Tenderloin,N,
12301,Y,Tenderloin,N,
12302,Y,Tenderloin,N,
12401,Y,Tenderloin,N,
12402,Y,Tenderloin,N,
12501,Y,Tenderloin,Y,
12502,Y,Tenderloin,Y,
12601,N,Other,N,
12602,N,Other,N,
12700,N,Other,N,
12800,N,Other,N,
12901,N,Other,N,
12902,N,Other,N,
13000,N,Other,N,
13101,Y,Other,N,
13102,Y,Other,N,
13200,N,Other,N,
13300,N,Other,N,
13400,N,Other,N,
13500,N,Other,N,
15100,Y,Other,N,
15200,Y,Other,N,
15300,N,Other,N,
15400,N,Other,N,
15500,Y,Other,N,
15600,N,Other,N,
15700,N,Other,N,
15801,N,Other,N,
15802,N,Other,N,
15900,Y,Other,N,
16000,Y,Other,N,
16100,Y,Other,N,
16200,Y,Other,N,
16300,Y,Other,N,
16400,N,Other,N,
16500,N,Other,N,
16600,N,Other,N,
16700,N,Other,N,
16801,N,Other,N,
16802,Y,Other,N,
16900,N,Other,N,
17000,N,Other,N,
17101,N,Other,N,
17102,N,Other,N,
17601,Y,SOMA,Y,
17700,Y,Other,N,
17801,Y,SOMA,N,
17802,Y,SOMA,N,
17902,N,Other,N,
18000,Y,SOMA,N,
20100,Y,Other,N,
20200,Y,Other,N,
20300,N,Other,N,
20401,N,Other,N,
20402,N,Other,N,
20500,N,Other,N,
20600,N,Other,N,
20700,N,Other,N,
20800,N,Other,N,
20900,N,Other,N,
21000,N,Other,N,
21100,N,Other,N,
21200,N,Other,N,
21300,N,Other,N,
21400,N,Other,N,
21500,N,Other,N,
21600,N,Other,N,
21700,N,Other,N,
21800,N,Other,N,
22600,N,Other,N,
22702,N,Other,N,
22704,N,Other,N,
22801,N,Other,N,
22802,N,Other,N,
22803,N,Other,N,
22901,N,Other,N,
22902,N,Other,N,
22903,N,Other,N,
23001,N,Other,N,
23003,N,Other,N,
23102,N,Other,N,
23103,N,Other,N,
23200,N,Other,N,
23300,N,Other,N,
23400,N,Other,N,
25100,N,Other,N,
25200,N,Other,N,
25300,N,Other,N,
25401,N,Other,N,
25402,N,Other,N,
25403,N,Other,N,
25500,N,Other,N,
25600,N,Other,N,
25701,N,Other,N,
25702,N,Other,N,
25800,N,Other,N,
25900,N,Other,N,
26001,N,Other,N,
26002,N,Other,N,
26003,N,Other,N,
26004,N,Other,N,
26100,N,Other,N,
26200,N,Other,N,
26301,N,Other,N,
26302,N,Other,N,
26303,N,Other,N,
26401,N,Other,N,
26402,N,Other,N,
26403,N,Other,N,
26404,N,Other,N,
30101,N,Other,N,
30102,N,Other,N,
30201,N,Other,N,
30202,N,Other,N,
30301,N,Other,N,
30302,N,Other,N,
30400,N,Other,N,
30500,N,Other,N,
30600,N,Other,N,
30700,N,Other,N,
30800,N,Other,N,
30900,N,Other,N,
31000,N,Other,N,
31100,N,Other,N,
31201,N,Other,N,
31202,N,Other,N,
31301,N,Other,N,
31302,N,Other,N,
31400,N,Other,N,
32601,N,Other,N,
32602,N,Other,N,
32700,N,Other,N,
32801,N,Other,N,
32802,N,Other,N,
32901,N,Other,N,
32902,N,Other,N,
33000,N,Other,N,
33100,N,Other,N,
33201,N,Other,N,
33203,N,Other,N,
33204,N,Other,N,
35100,N,Other,N,
35201,N,Other,N,
35202,N,Other,N,
35300,N,Other,N,
35400,N,Other,N,
40100,N,Other,N,
40200,N,Other,N,
42601,N,Other,N,
42602,N,Other,N,
42700,N,Other,N,
42800,N,Other,N,
45100,N,Other,N,
45200,N,Other,N,
47600,N,Other,N,
47701,N,Other,N,
47702,N,Other,N,
47801,N,Other,N,
47802,N,Other,N,
47901,N,Other,N,
47902,N,Other,N,
60100,N,Other,N,
60400,N,Other,N,
60502,N,Other,N,
60700,Y,Other,N,
61000,N,Other,N,
61100,Y,Other,N,
61200,N,Other,N,
61400,N,Other,N,
61500,Y,Other,N,
980200,N,Other,N,
980300,N,Other,N,
980501,N,Other,N,
980600,N,Other,N,
980900,N,Other,N,
