category,attribute_name,10500,10700,10800,11000,11100,11200,11300,11700,11800,11901,11902,12000,12100,12201,12202,12301,12302,12401,12402,12501,12502,13101,13102,15100,15200,15500,15900,16000,16100,16200,16300,16802,17601,17700,17801,17802,18000,20100,20200,60700,61100,61500
Population,Total Population,2429,5683,4587,5718,4887,3260,3507,1444,1765,2045,2618,3615,3046,4173,2272,2367,2054,4453,2895,3283,3191,3596,2913,2149,3780,4111,4134,2255,4717,2260,4428,3234,5902,1444,2907,3832,3511,5855,5435,6032,4364,9949
Population,"Non-Hispanicor Latino, white",1845,766,2028,2265,2235,1722,276,439,43,1092,1302,1756,1656,1261,753,508,972,995,1298,1109,810,2759,2278,1336,2644,1671,1581,1126,1251,1418,2279,1614,1569,770,841,1940,1421,1420,2952,2563,242,5446
Population,Asian,317,4541,2336,3027,1979,1272,3163,617,1690,614,657,1156,916,1273,842,870,485,1160,756,960,1561,643,253,573,772,1502,1329,649,991,350,478,489,2386,139,1805,988,621,1279,774,2482,4001,2845
Population,Hispanic or Latino,139,183,34,326,335,153,20,84,32,203,499,382,293,1335,383,542,157,1930,412,538,221,125,191,144,282,599,469,230,718,277,486,480,632,489,81,302,578,2723,1163,659,43,724
Population,Two or More Races,72,26,112,65,180,101,13,115,0,100,165,167,92,79,115,94,50,309,229,86,78,80,80,64,26,78,133,182,169,119,168,202,168,0,80,148,211,148,171,132,21,264
Population,Other,79,13,22,59,91,29,10,0,0,34,67,142,21,367,59,542,108,1146,353,369,114,19,44,22,45,251,75,21,260,134,158,158,286,117,29,232,190,1052,612,372,0,243
Population,Black or African American,11,169,64,105,193,12,38,207,0,22,59,135,56,225,200,345,289,197,225,516,495,0,114,23,56,273,633,50,1724,86,1017,618,924,40,93,438,758,285,387,189,36,595
Population,American Indian or Alaskan Native,0,24,13,0,19,0,7,0,0,0,42,0,20,0,0,8,101,90,0,55,25,0,8,0,0,14,7,6,17,0,25,0,19,16,7,13,17,265,56,0,0,74
Population,Native Hawaiian or Pacific Islander,0,0,0,0,0,0,0,0,0,0,32,0,13,0,0,0,0,16,8,19,39,0,0,0,0,0,0,0,0,12,0,0,196,0,0,0,0,0,4,0,32,50
Population,Persons with Disabilities,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Population,Seniors with Disabilties,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Housing Units,Total,1885,3040,2801,2725,3095,2424,1683,1334,772,1858,2048,2828,2441,2776,1605,1939,2573,2708,2266,2436,2533,2597,1814,1798,2581,2444,2319,1690,2929,1580,2165,1912,3909,832,2333,1936,1240,3003,3298,3324,2427,7206
Housing Units,For Rent,99,126,132,43,217,286,43,269,44,110,177,222,340,225,39,122,456,103,207,388,252,0,69,63,150,80,132,84,169,112,83,96,483,35,101,75,0,94,256,0,181,188
Housing Units,Vacant Units,363,229,416,89,353,689,82,413,85,426,398,365,377,332,83,514,884,302,399,509,330,183,189,230,210,197,186,184,331,188,257,273,772,147,285,414,73,318,454,264,296,1721
Households,Total,1522,2811,2385,2636,2742,1735,1601,921,687,1432,1650,2463,2064,2444,1522,1425,1689,2406,1867,1927,2203,2414,1625,1568,2371,2247,2133,1506,2598,1392,1908,1639,3137,685,2048,1522,1167,2685,2844,3060,2131,5485
Households,"Non-Hispanicor Latino, white",1208,506,1274,1163,1490,1014,239,313,43,846,974,1237,1248,1081,690,436,834,895,892,795,644,1771,1376,1043,1612,1057,1000,911,857,929,1158,953,1122,435,645,897,667,1021,1745,1576,218,3130
Households,Asian,192,2077,1013,1211,917,545,1294,331,636,422,348,741,607,565,440,415,362,572,342,524,815,519,105,391,528,785,586,333,493,137,187,222,944,79,1201,380,255,434,419,1083,1823,1562
Households,Hispanic or Latino,49,127,12,199,100,125,20,66,8,123,234,282,111,544,190,194,81,632,256,312,189,88,128,73,180,140,89,102,207,180,108,163,335,144,72,111,156,845,446,210,33,376
Households,Two or More Races,49,26,53,42,135,39,13,115,0,22,61,135,75,29,89,72,22,114,132,23,78,47,27,29,12,20,94,92,77,64,49,58,139,0,65,17,50,119,58,37,21,180
Households,Other,47,13,0,59,39,29,10,0,0,14,67,86,0,210,15,194,45,354,242,186,93,19,0,14,14,130,18,21,65,48,14,28,199,59,29,58,36,296,232,94,0,17
Households,Black or African American,11,77,20,72,85,12,38,96,0,5,23,70,23,225,125,300,289,197,225,243,480,0,0,23,39,226,375,50,976,61,402,284,548,21,58,104,65,271,141,133,19,214
Households,American Indian or Alaskan Native,0,24,13,0,15,0,7,0,0,0,18,0,0,0,0,8,101,51,0,30,25,0,0,0,0,14,7,6,17,0,0,0,19,16,7,13,0,96,44,0,0,43
Households,Native Hawaiian or Pacific Islander,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,5,8,0,10,0,0,0,0,0,0,0,0,12,0,0,36,0,0,0,0,0,4,0,28,29
Households,Tenure owners,414,207,643,216,307,467,200,53,19,384,71,71,94,161,11,11,0,10,33,23,23,462,318,497,571,260,521,388,199,113,411,292,226,133,345,549,518,594,630,1075,56,2330
Households,Tenure renters ,1108,2604,1742,2420,2435,1268,1401,868,668,1048,1579,2392,1970,2283,1511,1414,1689,2396,1834,1904,2180,1952,1307,1071,1800,1987,1612,1118,2399,1279,1497,1347,2911,552,1703,973,649,2091,2214,1985,2075,3155
Households,# in Poverty,0,281,76,192,54,105,193,49,121,18,16,117,20,164,57,21,12,124,61,66,69,0,33,0,15,12,71,22,33,6,42,48,116,0,16,92,44,49,129,18,417,48
Households,Median Income (renter households),111758,20765,67182,52500,45169,68810,16311,21917,23794,35561,48828,33825,29108,29916,24088,13480,24375,21002,18789,11523,11453,106100,100938,70417,46613,45839,33269,57591,19564,50179,56282,48327,20431,66406,15322,44777,70987,29405,46853,78365,14055,97003
Households,Renter households less than 5000,18,350,75,35,163,65,77,117,51,84,83,366,346,110,205,102,408,152,198,264,294,0,34,31,92,129,276,46,78,66,59,62,283,18,0,39,37,134,35,96,105,113
Households,Renter households 5000-9999,7,230,155,70,105,25,185,52,85,26,16,151,26,138,39,352,66,185,285,337,410,33,23,19,59,179,127,34,218,62,90,22,259,0,252,79,14,159,210,50,353,99
Households,Renter households 10000-14999,13,546,185,170,131,157,331,173,101,63,54,223,82,269,294,315,90,431,355,610,707,14,13,72,249,254,59,71,663,77,111,112,522,0,582,104,56,318,181,65,663,68
Households,Renter households 15000-19999,20,150,51,159,164,26,292,46,34,187,110,112,295,170,87,53,131,345,125,183,179,39,11,89,0,128,107,83,275,57,81,72,376,11,288,49,17,145,103,205,220,71
Households,Renter households 20000-24999,19,226,13,83,141,38,90,107,104,39,79,173,111,157,144,61,159,339,83,37,218,55,47,82,101,75,70,41,258,52,106,178,188,64,127,63,0,134,142,65,236,165
Households,Renter households 25000-34999,9,307,12,200,271,95,113,157,58,114,179,234,199,473,103,175,257,243,189,168,193,44,41,60,269,103,176,54,163,107,96,79,184,51,24,48,78,261,129,78,159,201
Households,Renter households 35000-49999,18,230,112,468,350,158,107,31,162,117,276,303,237,305,174,170,78,284,196,94,80,200,22,51,178,232,195,197,164,214,142,192,199,63,49,163,57,221,355,186,157,249
Households,Renter households 50000-74999,188,195,296,424,399,148,96,92,20,182,320,364,360,301,268,104,281,271,241,157,99,329,210,139,232,190,134,177,266,218,179,251,274,83,27,119,87,223,307,232,122,280
Households,Renter households 75000-99999,188,195,296,424,399,148,96,92,20,182,320,364,360,301,268,104,281,271,241,157,99,329,210,139,232,190,134,177,266,218,179,251,274,83,27,119,87,223,307,232,122,280
Households,Renter households 100000-149000,417,147,366,316,235,261,23,49,34,61,199,110,85,111,95,82,133,36,29,25,0,437,266,130,148,253,175,254,159,114,296,163,197,119,128,127,156,192,406,329,9,666
Households,Renter households greater than 150000,311,114,211,193,212,171,9,29,10,70,55,123,35,54,42,0,31,0,27,0,0,617,395,161,262,137,128,14,83,35,102,176,97,32,213,121,100,71,163,508,32,880
Households,Cost burdened 30%+,184,595,313,443,513,165,438,292,158,295,398,421,567,540,204,454,468,842,555,502,617,442,179,200,366,537,398,322,835,201,310,223,659,110,558,233,205,587,531,422,633,642
Households,Severely cost burdened 50%+,159,545,282,413,478,235,288,255,234,245,294,650,438,767,469,431,367,543,672,676,560,192,129,267,411,424,372,188,441,369,390,365,812,93,53,254,106,520,475,385,533,537
Households,1-Person,836,1342,1066,1184,1677,758,708,607,253,1011,991,1580,1326,1508,1108,967,1352,1560,1430,1474,1755,1567,810,1185,1577,1432,1033,988,1459,873,821,833,1905,312,1314,600,613,1314,1312,1344,1086,3099
Households,Households with Children,97,1036,509,906,539,341,654,130,460,166,252,181,136,677,146,313,24,658,243,264,251,131,141,65,294,289,496,119,789,117,454,340,1083,91,105,403,167,1037,702,911,808,583
Households,Senior households,407,1178,695,581,598,495,903,191,313,364,221,328,305,388,134,420,264,420,328,521,882,369,398,571,638,1001,565,412,1185,147,292,222,393,93,1304,141,58,584,515,408,1101,440
