category,attribute_name,10500,10700,10800,11000,11100,11200,11300,11700,11800,11901,11902,12000,12100,12201,12202,12301,12302,12401,12402,12501,12502,13101,13102,15100,15200,15500,15900,16000,16100,16200,16300,16802,17601,17700,17801,17802,18000,20100,20200,60700,61100,61500
Population,Total Population,2685,5592,4578,4827,5164,3286,3143,1783,1500,2408,2598,3833,3833,4567,2986,2734,3073,5075,3974,5335,3821,3811,2625,2493,3934,3622,4350,2465,5366,2541,4293,3264,7630,2128,3499,4516,4221,6172,6269,9083,4307,11502
Population,"Non-Hispanicor Latino, white",1655,835,2141,2136,2456,1811,494,618,112,1350,1416,1781,1922,1666,1048,866,1307,1244,1722,1817,763,2763,2009,1519,2363,1617,1578,1222,1412,1533,2159,1920,2408,909,897,2132,1824,1939,3106,4073,204,6290
Population,Asian,778,4440,2131,2252,1928,1150,2514,834,1327,634,708,1108,1018,1169,840,852,1007,1279,907,1297,1551,593,342,655,993,1151,1652,787,1188,391,574,392,2777,299,2268,1064,720,945,1000,3541,3870,3545
Population,Hispanic or Latino,155,167,166,226,500,188,74,171,38,220,317,578,497,1276,550,600,372,1852,777,1022,806,254,134,150,262,347,354,238,522,338,550,424,1041,724,139,646,602,2656,1577,754,91,743
Population,Two or More Races,60,92,115,154,197,84,44,59,19,116,113,249,224,277,176,123,145,236,212,256,183,153,111,106,170,159,203,107,264,117,224,171,438,115,92,224,212,460,310,422,52,480
Population,Other,40,53,42,74,157,62,29,74,17,59,106,272,184,621,227,285,134,1119,351,504,420,54,29,36,75,208,141,91,183,129,210,173,467,385,33,301,222,1029,595,274,28,238
Population,Black or African American,46,85,43,78,133,52,25,111,12,95,58,175,190,259,394,334,249,529,424,923,564,71,33,69,143,352,573,122,2047,180,826,375,1021,108,114,495,895,384,417,352,108,443
Population,American Indian or Alaskan Native,3,12,5,6,18,3,0,11,1,16,10,29,42,41,33,25,27,62,40,75,44,7,5,7,11,13,6,8,14,16,23,32,105,27,4,38,50,225,76,37,2,39
Population,Native Hawaiian or Pacific Islander,2,2,2,4,10,6,2,3,0,7,13,8,4,10,10,2,10,20,9,47,31,7,2,5,7,14,8,4,30,7,8,5,32,11,2,10,18,24,24,7,3,26
